id;uid;first_name;last_name;fiscal_code;vat
1;monitor 1080p Checking Account;Tierra;Hermiston;Frozen IB;Highway Ergonomic
2;moratorium moratorium;Monte;McLaughlin;tangible Mississippi;Frozen bus
3;hard drive Robust Networked;Aliza;Lebsack;partnerships Grocery Intelligent;Dynamic
4;knowledge base Buckinghamshire;Sydney;Connelly;Investment Account;override User-centric
5;Money Market Account;Maude;Crooks;Web virtual deposit;Squares mint green e-business
6;Ghana back-end National;Emilio;Ullrich;contextually-based;synergies copying
7;ability Hat Iraq;Jazmin;Ernser;Concrete 24/7 Directives;sky blue
8;Kenyan Shilling robust;Wanda;Funk;Exclusive Moroccan Dirham card;zero tolerance
9;mission-critical;Weston;Kuvalis;Small Plastic Pants Investor;Canadian Dollar
10;Berkshire Designer;Deangelo;McLaughlin;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal
